Iterations needed 
N, ACO, ACO, ACOWU, ACOWU, Dai, Dai, Bellaachia, Bellaachia,
, Avg., St.Dev., Avg., St.Dev., Avg., St.Dev., Avg., St.Dev.,
20, 1157, 738, 707, 520, 610, 555, 335, 246, 
30, 1111, 542, 860, 665, 1091, 293, 921, 477, 
40, 1266, 590, 1041, 343, 1660, 846, 1230, 280, 
50, 1009, 771, 1721, 781, 1656, 861, 1096, 466, 
60, 1273, 1036, 1925, 401, 1460, 950, 544, 373, 
